,,0,1,2,3,4,5,6,7,8,9
0,0,"('Stay', 0.789952980361831)","('Stay', 0.7922609811621605)","('Stay', 0.8067142497937132)","('Stay', 0.8127178136498565)","('Stay', 0.8178450203235511)","('Stay', 0.8344771279991032)","('Stay', 0.8346991283237646)","('Stay', 0.8831854394156964)","('Stay', 0.8924348929028808)","('Stay', 0.8711934323113535)"
1,0,,,,,,,,,,
1,1,"('Split', 0.7908814349750914)","('Split', 0.7898626409033693)","('Split', 0.930954464290735)","('Split', 0.9578327685554717)","('Split', 1.0060530967574104)","('Split', 1.060230466789265)","('Split', 1.0925449706159012)","('Split', 1.0042625854588056)","('Split', 0.9491414020015303)","('Split', 0.8664100961131664)"
2,0,"('Hit', 0.3277211764114799)","('Hit', 0.31491205625925456)","('Hit', 0.38109711850319794)","('Hit', 0.393438164270237)","('Stay', 0.40887338328257516)","('Stay', 0.44237239314436316)","('Stay', 0.45299380872572215)","('Hit', 0.3961265232628811)","('Hit', 0.36431404801337985)","('Hit', 0.3288669229975303)"
2,1,"('Hit', 0.45641440022020835)","('Hit', 0.45147428104694326)","('Hit', 0.525834292113702)","('Hit', 0.541821964292709)","('Double', 0.5742868904618843)","('Double', 0.6240640195660935)","('Double', 0.6456181098852694)","('Hit', 0.5565296473476653)","('Hit', 0.521520649262363)","('Hit', 0.49436310013448437)"
2,2,"('Hit', 0.3636234680718751)","('Hit', 0.3589561370079892)","('Split', 0.4939988530177424)","('Split', 0.5327651701589868)","('Split', 0.5830283412793367)","('Split', 0.6759045619647943)","('Split', 0.7021804195516475)","('Split', 0.5208766096419697)","('Hit', 0.4315857285166141)","('Hit', 0.39067555306982443)"
3,0,"('Hit', 0.30442332377575926)","('Hit', 0.2940439530734216)","('Stay', 0.3589267134870981)","('Stay', 0.3793157216005183)","('Stay', 0.41684877251177826)","('Stay', 0.4440860743013034)","('Stay', 0.4546772085531985)","('Hit', 0.3669696769605793)","('Hit', 0.33767356257501496)","('Hit', 0.32157362234512943)"
3,1,"('Hit', 0.4391903727812628)","('Hit', 0.4358965643033225)","('Hit', 0.5154356645347455)","('Hit', 0.5288793356545295)","('Double', 0.5725628028830875)","('Double', 0.6199402318381486)","('Double', 0.6425532420809723)","('Hit', 0.5329477183164395)","('Hit', 0.5197481186335858)","('Hit', 0.47156242956298583)"
3,2,"('Hit', 0.34751506611326183)","('Hit', 0.3442971657835252)","('Hit', 0.44413525857192704)","('Hit', 0.4599919770685693)","('Hit', 0.49053446701664527)","('Hit', 0.5221321939973832)","('Hit', 0.5333249331483618)","('Hit', 0.4430783736404164)","('Hit', 0.41167456011035397)","('Hit', 0.3706434305511307)"
3,3,"('Hit', 0.3315735867123623)","('Hit', 0.32483234761434615)","('Split', 0.4628440467699948)","('Split', 0.5070101444781965)","('Split', 0.6010939802222348)","('Split', 0.6771087064767525)","('Split', 0.7047007948305986)","('Split', 0.49227885952355677)","('Split', 0.3998745505929908)","('Hit', 0.3472009296956209)"
4,0,"('Hit', 0.27821181348580154)","('Hit', 0.2697734127202258)","('Stay', 0.3585429144650807)","('Stay', 0.3874727930715026)","('Stay', 0.41894986711983034)","('Stay', 0.4459786702078359)","('Stay', 0.4564048246428545)","('Hit', 0.3311431907973166)","('Hit', 0.3231008380219093)","('Hit', 0.2944910020247985)"
4,1,"('Hit', 0.4158169297179114)","('Hit', 0.41170467594595217)","('Hit', 0.5012604600394354)","('Hit', 0.5194815013521425)","('Double', 0.5587386819025886)","('Double', 0.6073777606886748)","('Double', 0.63344522483003)","('Hit', 0.5199431224247141)","('Hit', 0.4845311976365331)","('Hit', 0.4450375250137679)"
4,2,"('Hit', 0.330617714497335)","('Hit', 0.3243816476119567)","('Hit', 0.433945417584553)","('Hit', 0.45706179832575333)","('Hit', 0.4836116960046221)","('Hit', 0.5165606345746915)","('Hit', 0.5320466525925295)","('Hit', 0.42111917165917956)","('Hit', 0.3851923576735742)","('Hit', 0.35069717751254365)"
4,3,"('Hit', 0.3355057926001011)","('Hit', 0.321811956538415)","('Hit', 0.4451901624653723)","('Hit', 0.4663696855238495)","('Hit', 0.5005144321268601)","('Hit', 0.5351082144670207)","('Hit', 0.5451160469346789)","('Hit', 0.47097913869477864)","('Hit', 0.39098911819638826)","('Hit', 0.35235255609499977)"
4,4,"('Hit', 0.38150011017418645)","('Hit', 0.37426845193427666)","('Hit', 0.4967320676515693)","('Hit', 0.5181865157689214)","('Split', 0.5745347846090805)","('Split', 0.6599934123366633)","('Split', 0.6858992846822953)","('Hit', 0.5610588274625083)","('Hit', 0.4770412612689293)","('Hit', 0.401228515687316)"
5,0,"('Hit', 0.25040072449604595)","('Hit', 0.24160788776285969)","('Stay', 0.36707618833934913)","('Stay', 0.3894737359020359)","('Stay', 0.42079404213523747)","('Stay', 0.44774680457732563)","('Stay', 0.45676054819165335)","('Hit', 0.3199606451140155)","('Hit', 0.292735881409626)","('Hit', 0.2636138057741696)"
5,1,"('Hit', 0.3907310653923724)","('Hit', 0.3840001490631576)","('Hit', 0.4925442973330277)","('Hit', 0.5073433099513556)","('Double', 0.5526272620107444)","('Double', 0.5892012712775567)","('Double', 0.6413303010856333)","('Hit', 0.49088292539688083)","('Hit', 0.45999490045953884)","('Hit', 0.41909265107332333)"
5,2,"('Hit', 0.3415223657953362)","('Hit', 0.3261654420904477)","('Hit', 0.45745527594172447)","('Hit', 0.476934985896679)","('Hit', 0.504147550193849)","('Hit', 0.5385827606899797)","('Hit', 0.5491481609515682)","('Hit', 0.4724300723168871)","('Hit', 0.39583877621392893)","('Hit', 0.36188006888992946)"
